section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,cifar10_vit_b32,44,1.0,,dp_avg_eps32.0_K5,0.9621,10.1,vit_b32,32.0,5.0
D,cifar10_vit_b32,44,1.0,,dp_avg_eps32.0_K20,0.9626,10.5,vit_b32,32.0,20.0
D,cifar10_vit_b32,44,1.0,,dp_avg_epsinf_K1,0.9624,10.3,vit_b32,inf,1.0
D,cifar10_vit_b32,44,1.0,,dp_avg_epsinf_K5,0.9621,10.2,vit_b32,inf,5.0
D,cifar10_vit_b32,44,1.0,,dp_avg_epsinf_K20,0.9625,9.9,vit_b32,inf,20.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps0.5_K1,0.3911,14.8,distilbert,0.5,1.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps0.5_K5,0.5037,14.7,distilbert,0.5,5.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps0.5_K20,0.3447,14.7,distilbert,0.5,20.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps2.0_K1,0.4263,14.3,distilbert,2.0,1.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps2.0_K5,0.3957,14.4,distilbert,2.0,5.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps2.0_K20,0.3911,15.3,distilbert,2.0,20.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps8.0_K1,0.3893,14.5,distilbert,8.0,1.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps8.0_K5,0.4212,14.4,distilbert,8.0,5.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps8.0_K20,0.4099,14.7,distilbert,8.0,20.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps32.0_K1,0.39,14.8,distilbert,32.0,1.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps32.0_K5,0.4191,15.6,distilbert,32.0,5.0
D,ag_news_distilbert,42,0.05,,dp_avg_eps32.0_K20,0.4125,15.7,distilbert,32.0,20.0
D,ag_news_distilbert,42,0.05,,dp_avg_epsinf_K1,0.3926,14.7,distilbert,inf,1.0
D,ag_news_distilbert,42,0.05,,dp_avg_epsinf_K5,0.4118,14.7,distilbert,inf,5.0
D,ag_news_distilbert,42,0.05,,dp_avg_epsinf_K20,0.4154,14.2,distilbert,inf,20.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps0.5_K1,0.2801,14.9,distilbert,0.5,1.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps0.5_K5,0.3464,14.7,distilbert,0.5,5.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps0.5_K20,0.3258,14.7,distilbert,0.5,20.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps2.0_K1,0.2987,14.9,distilbert,2.0,1.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps2.0_K5,0.33,14.0,distilbert,2.0,5.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps2.0_K20,0.333,14.6,distilbert,2.0,20.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps8.0_K1,0.3199,15.7,distilbert,8.0,1.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps8.0_K5,0.333,14.3,distilbert,8.0,5.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps8.0_K20,0.3342,14.7,distilbert,8.0,20.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps32.0_K1,0.3278,14.6,distilbert,32.0,1.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps32.0_K5,0.3332,14.7,distilbert,32.0,5.0
D,ag_news_distilbert,42,0.1,,dp_avg_eps32.0_K20,0.3337,14.8,distilbert,32.0,20.0
D,ag_news_distilbert,42,0.1,,dp_avg_epsinf_K1,0.3326,14.4,distilbert,inf,1.0
D,ag_news_distilbert,42,0.1,,dp_avg_epsinf_K5,0.3333,14.6,distilbert,inf,5.0
D,ag_news_distilbert,42,0.1,,dp_avg_epsinf_K20,0.333,14.7,distilbert,inf,20.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps0.5_K1,0.5703,14.5,distilbert,0.5,1.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps0.5_K5,0.8514,14.5,distilbert,0.5,5.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps0.5_K20,0.8586,14.7,distilbert,0.5,20.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps2.0_K1,0.8417,15.2,distilbert,2.0,1.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps2.0_K5,0.8579,14.6,distilbert,2.0,5.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps2.0_K20,0.8605,14.4,distilbert,2.0,20.0
D,ag_news_distilbert,42,1.0,,dp_avg_eps8.0_K1,0.8587,14.5,distilbert,8.0,1.0
