task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
banking77,77,42,A,33,4,105,0.1755,0.2183,0.2016,0.0292
banking77,77,42,A,34,2,153,0.1849,0.229,0.2263,0.0302
banking77,77,42,A,35,4,119,0.1353,0.1772,0.1565,0.0263
banking77,77,42,A,36,5,112,0.1442,0.1786,0.1721,0.0273
banking77,77,42,A,37,4,87,0.1445,0.1742,0.1675,0.03
banking77,77,42,A,38,4,96,0.1348,0.1716,0.171,0.0274
banking77,77,42,A,39,2,113,0.1446,0.177,0.1718,0.0297
banking77,77,42,A,40,1,93,0.1925,0.2231,0.2243,0.0266
banking77,77,42,A,41,3,71,0.1206,0.1554,0.1468,0.0303
banking77,77,42,A,42,2,111,0.178,0.214,0.1963,0.0263
banking77,77,42,A,43,3,108,0.175,0.2125,0.2147,0.0264
banking77,77,42,A,44,4,86,0.1335,0.1684,0.1562,0.0225
banking77,77,42,A,45,3,139,0.1498,0.174,0.17,0.0292
banking77,77,42,A,46,5,127,0.0889,0.1387,0.1252,0.0289
banking77,77,42,A,47,2,135,0.1396,0.1748,0.1706,0.0337
banking77,77,42,A,48,5,138,0.1032,0.137,0.1432,0.0323
banking77,77,42,A,49,3,103,0.1855,0.2227,0.2076,0.0318
banking77,77,42,A,50,3,83,0.166,0.1921,0.1827,0.0284
banking77,77,42,A,51,3,149,0.155,0.1977,0.1784,0.0313
banking77,77,42,A,52,5,157,0.1802,0.227,0.2133,0.0324
banking77,77,42,A,53,4,143,0.1586,0.1993,0.2011,0.027
banking77,77,42,A,54,2,115,0.1559,0.1912,0.1853,0.0317
banking77,77,42,A,55,5,94,0.1381,0.1951,0.1668,0.0307
banking77,77,42,A,56,4,96,0.152,0.1869,0.1784,0.0354
banking77,77,42,A,57,4,99,0.1783,0.2082,0.1889,0.0257
banking77,77,42,A,58,3,96,0.1584,0.1971,0.1915,0.0288
banking77,77,42,A,59,5,132,0.1305,0.1719,0.1663,0.0292
banking77,77,42,A,60,4,91,0.1604,0.1815,0.185,0.0317
banking77,77,42,A,61,3,136,0.141,0.1773,0.1728,0.0231
banking77,77,42,A,62,5,89,0.1503,0.1791,0.1907,0.0272
banking77,77,42,A,63,4,155,0.1489,0.2039,0.1811,0.0318
banking77,77,42,A,64,2,158,0.157,0.1944,0.1984,0.0304
banking77,77,42,A,65,4,106,0.1529,0.1888,0.1777,0.027
banking77,77,42,A,66,6,156,0.1026,0.16,0.1541,0.0276
banking77,77,42,A,67,4,117,0.1504,0.18,0.1986,0.0301
banking77,77,42,A,68,4,93,0.142,0.1807,0.1781,0.0338
banking77,77,42,A,69,3,91,0.1509,0.1813,0.1751,0.0273
banking77,77,42,A,70,5,102,0.1529,0.1998,0.1797,0.029
banking77,77,42,A,71,3,110,0.1491,0.1878,0.1726,0.0261
banking77,77,42,A,72,2,34,0.1143,0.1614,0.1423,0.027
banking77,77,42,A,73,2,119,0.164,0.2002,0.1864,0.0254
banking77,77,42,A,74,5,111,0.1385,0.1786,0.1751,0.0304
banking77,77,42,A,75,5,166,0.1318,0.1809,0.1764,0.027
banking77,77,42,A,76,4,152,0.1279,0.1585,0.1604,0.0269
banking77,77,42,B,0,2,140,0.0984,0.1477,0.1235,0.0276
banking77,77,42,B,1,3,101,0.0788,0.1177,0.102,0.0295
banking77,77,42,B,2,5,106,0.0742,0.1362,0.1149,0.0255
banking77,77,42,B,3,3,79,0.1166,0.1489,0.1233,0.0262
banking77,77,42,B,4,4,109,0.0821,0.1177,0.1139,0.0311
banking77,77,42,B,5,2,155,0.0845,0.1066,0.1013,0.0326
banking77,77,42,B,6,6,165,0.092,0.1252,0.1202,0.0325
banking77,77,42,B,7,1,145,0.0838,0.1162,0.0971,0.0276
banking77,77,42,B,8,3,144,0.1032,0.1302,0.1224,0.028
banking77,77,42,B,9,5,111,0.1005,0.1308,0.1174,0.0264
banking77,77,42,B,10,2,52,0.0867,0.1061,0.1018,0.0277
banking77,77,42,B,11,3,135,0.1069,0.1437,0.1228,0.0293
banking77,77,42,B,12,2,102,0.0785,0.0976,0.0999,0.0259
banking77,77,42,B,13,2,124,0.1012,0.1275,0.122,0.0332
banking77,77,42,B,14,3,94,0.0629,0.0917,0.0951,0.0279
banking77,77,42,B,15,6,171,0.0879,0.1168,0.1202,0.029
banking77,77,42,B,16,4,156,0.0953,0.1284,0.1279,0.0266
banking77,77,42,B,17,3,160,0.108,0.1508,0.1234,0.0277
banking77,77,42,B,18,3,54,0.0578,0.0866,0.0727,0.0283
banking77,77,42,B,19,5,162,0.0776,0.1135,0.0955,0.0256
banking77,77,42,B,20,6,147,0.0969,0.1268,0.1201,0.0329
banking77,77,42,B,21,3,110,0.1099,0.1523,0.1418,0.0274
