task,C,seed,access,eps,queries,fidelity,task_acc
dbpedia_14,14,43,label,1.0,1000,0.0838,0.1538
dbpedia_14,14,43,label,1.0,5000,0.0977,0.1538
dbpedia_14,14,43,label,1.0,20000,0.1462,0.1538
dbpedia_14,14,43,label,1.0,50000,0.214,0.1538
dbpedia_14,14,43,label,1.0,100000,0.2689,0.1538
dbpedia_14,14,43,label,0.5,1000,0.0741,0.105
dbpedia_14,14,43,label,0.5,5000,0.0796,0.105
dbpedia_14,14,43,label,0.5,20000,0.1041,0.105
dbpedia_14,14,43,label,0.5,50000,0.1188,0.105
dbpedia_14,14,43,label,0.5,100000,0.1394,0.105
dbpedia_14,14,43,probs,inf,1000,1.0,0.797
dbpedia_14,14,43,probs,inf,5000,1.0,0.797
dbpedia_14,14,43,probs,inf,20000,0.9998,0.797
dbpedia_14,14,43,probs,inf,50000,1.0,0.797
dbpedia_14,14,43,probs,inf,100000,0.9999,0.797
dbpedia_14,14,43,probs,8.0,1000,0.0752,0.0862
dbpedia_14,14,43,probs,8.0,5000,0.0961,0.0862
dbpedia_14,14,43,probs,8.0,20000,0.1336,0.0862
dbpedia_14,14,43,probs,8.0,50000,0.1716,0.0862
dbpedia_14,14,43,probs,8.0,100000,0.2281,0.0862
dbpedia_14,14,43,probs,4.0,1000,0.0718,0.0776
dbpedia_14,14,43,probs,4.0,5000,0.0809,0.0776
dbpedia_14,14,43,probs,4.0,20000,0.0903,0.0776
dbpedia_14,14,43,probs,4.0,50000,0.1083,0.0776
dbpedia_14,14,43,probs,4.0,100000,0.1232,0.0776
dbpedia_14,14,43,probs,2.0,1000,0.0704,0.0742
dbpedia_14,14,43,probs,2.0,5000,0.0784,0.0742
dbpedia_14,14,43,probs,2.0,20000,0.0819,0.0742
dbpedia_14,14,43,probs,2.0,50000,0.0869,0.0742
dbpedia_14,14,43,probs,2.0,100000,0.0919,0.0742
dbpedia_14,14,43,probs,1.0,1000,0.0686,0.0724
dbpedia_14,14,43,probs,1.0,5000,0.0785,0.0724
dbpedia_14,14,43,probs,1.0,20000,0.072,0.0724
dbpedia_14,14,43,probs,1.0,50000,0.0745,0.0724
dbpedia_14,14,43,probs,1.0,100000,0.0792,0.0724
dbpedia_14,14,43,probs,0.5,1000,0.0668,0.0718
dbpedia_14,14,43,probs,0.5,5000,0.0704,0.0718
dbpedia_14,14,43,probs,0.5,20000,0.0703,0.0718
dbpedia_14,14,43,probs,0.5,50000,0.0758,0.0718
dbpedia_14,14,43,probs,0.5,100000,0.0747,0.0718
dbpedia_14,14,44,label,inf,1000,0.2615,0.7666
dbpedia_14,14,44,label,inf,5000,0.5239,0.7666
dbpedia_14,14,44,label,inf,20000,0.807,0.7666
dbpedia_14,14,44,label,inf,50000,0.9142,0.7666
dbpedia_14,14,44,label,inf,100000,0.9562,0.7666
dbpedia_14,14,44,label,8.0,1000,0.256,0.7632
dbpedia_14,14,44,label,8.0,5000,0.5244,0.7632
dbpedia_14,14,44,label,8.0,20000,0.7464,0.7632
dbpedia_14,14,44,label,8.0,50000,0.8914,0.7632
dbpedia_14,14,44,label,8.0,100000,0.9446,0.7632
dbpedia_14,14,44,label,4.0,1000,0.2077,0.6206
