task,C,d,seed,arrangement,strategy,queries,fidelity,majority
dbpedia_14,14,768,44,A,boundary,1000,0.2492,0.2191
dbpedia_14,14,768,44,A,boundary,2000,0.3096,0.2191
dbpedia_14,14,768,44,A,boundary,5000,0.4567,0.2191
dbpedia_14,14,768,44,A,boundary,10000,0.5814,0.2191
dbpedia_14,14,768,44,A,boundary,20000,0.711,0.2191
dbpedia_14,14,768,44,A,boundary,50000,0.858,0.2191
dbpedia_14,14,768,44,A,boundary,100000,0.923,0.2191
dbpedia_14,14,768,44,A,boundary,200000,0.9677,0.2191
dbpedia_14,14,768,44,B,disclosed,0,1.0,0.3046
dbpedia_14,14,768,44,B,logits,769,1.0,0.3046
dbpedia_14,14,768,44,B,random,200,0.3069,0.3046
dbpedia_14,14,768,44,B,random,500,0.3678,0.3046
dbpedia_14,14,768,44,B,random,1000,0.4186,0.3046
dbpedia_14,14,768,44,B,random,2000,0.5108,0.3046
dbpedia_14,14,768,44,B,random,5000,0.6376,0.3046
dbpedia_14,14,768,44,B,random,10000,0.7346,0.3046
dbpedia_14,14,768,44,B,random,20000,0.8076,0.3046
dbpedia_14,14,768,44,B,random,50000,0.9051,0.3046
dbpedia_14,14,768,44,B,random,100000,0.9384,0.3046
dbpedia_14,14,768,44,B,random,200000,0.9723,0.3046
dbpedia_14,14,768,44,B,boundary,200,0.1353,0.3046
dbpedia_14,14,768,44,B,boundary,500,0.2437,0.3046
dbpedia_14,14,768,44,B,boundary,1000,0.3193,0.3046
dbpedia_14,14,768,44,B,boundary,2000,0.3936,0.3046
dbpedia_14,14,768,44,B,boundary,5000,0.5061,0.3046
dbpedia_14,14,768,44,B,boundary,10000,0.6435,0.3046
dbpedia_14,14,768,44,B,boundary,20000,0.751,0.3046
dbpedia_14,14,768,44,B,boundary,50000,0.8669,0.3046
dbpedia_14,14,768,44,B,boundary,100000,0.9266,0.3046
dbpedia_14,14,768,44,B,boundary,200000,0.957,0.3046
banking77,77,768,42,A,disclosed,0,1.0,0.0785
banking77,77,768,42,A,logits,769,1.0,0.0785
banking77,77,768,42,A,random,200,0.0972,0.0785
banking77,77,768,42,A,random,500,0.128,0.0785
banking77,77,768,42,A,random,1000,0.16,0.0785
banking77,77,768,42,A,random,2000,0.2241,0.0785
banking77,77,768,42,A,random,5000,0.3443,0.0785
banking77,77,768,42,A,random,10000,0.4592,0.0785
banking77,77,768,42,A,random,20000,0.5789,0.0785
banking77,77,768,42,A,random,50000,0.7439,0.0785
banking77,77,768,42,A,random,100000,0.8312,0.0785
banking77,77,768,42,A,random,200000,0.8928,0.0785
banking77,77,768,42,A,boundary,200,0.0199,0.0785
banking77,77,768,42,A,boundary,500,0.0116,0.0785
banking77,77,768,42,A,boundary,1000,0.0254,0.0785
banking77,77,768,42,A,boundary,2000,0.1434,0.0785
banking77,77,768,42,A,boundary,5000,0.2423,0.0785
banking77,77,768,42,A,boundary,10000,0.3496,0.0785
banking77,77,768,42,A,boundary,20000,0.4744,0.0785
banking77,77,768,42,A,boundary,50000,0.6632,0.0785
banking77,77,768,42,A,boundary,100000,0.7674,0.0785
banking77,77,768,42,A,boundary,200000,0.8384,0.0785
banking77,77,768,42,B,disclosed,0,1.0,0.0657
banking77,77,768,42,B,logits,769,1.0,0.0657
banking77,77,768,42,B,random,200,0.098,0.0657
banking77,77,768,42,B,random,500,0.1216,0.0657
banking77,77,768,42,B,random,1000,0.1669,0.0657
banking77,77,768,42,B,random,2000,0.2426,0.0657
banking77,77,768,42,B,random,5000,0.3562,0.0657
banking77,77,768,42,B,random,10000,0.4837,0.0657
banking77,77,768,42,B,random,20000,0.6244,0.0657
banking77,77,768,42,B,random,50000,0.7743,0.0657
banking77,77,768,42,B,random,100000,0.8539,0.0657
banking77,77,768,42,B,random,200000,0.9027,0.0657
banking77,77,768,42,B,boundary,200,0.0578,0.0657
banking77,77,768,42,B,boundary,500,0.016,0.0657
banking77,77,768,42,B,boundary,1000,0.0998,0.0657
banking77,77,768,42,B,boundary,2000,0.0839,0.0657
banking77,77,768,42,B,boundary,5000,0.2542,0.0657
banking77,77,768,42,B,boundary,10000,0.3483,0.0657
banking77,77,768,42,B,boundary,20000,0.499,0.0657
banking77,77,768,42,B,boundary,50000,0.6959,0.0657
banking77,77,768,42,B,boundary,100000,0.8001,0.0657
banking77,77,768,42,B,boundary,200000,0.8651,0.0657
