section,setup,backbone,alpha,probe_size,method,acc_mean,acc_std,n_seeds
C,ag_news_distilbert,distilbert,1.0,,labelled_probe_warmup,0.8583,0.0021,3
C,ag_news_distilbert,distilbert,1.0,,no_phase0,0.8569,0.0024,3
C,ag_news_distilbert,distilbert,1.0,,raw_union_K20,0.8709,0.0024,3
C,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps2_K20,0.251,0.0017,3
C,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps8_K20,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.05,,labelled_probe_warmup,0.297,0.0769,3
C,ag_news_gpt2_small,gpt2_small,0.05,,no_phase0,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.05,,raw_union_K20,0.2504,0.0008,3
C,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps2_K20,0.3298,0.1385,3
C,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps8_K20,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.1,,labelled_probe_warmup,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.1,,no_phase0,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.1,,raw_union_K20,0.2514,0.0024,3
C,ag_news_gpt2_small,gpt2_small,0.3,,dp_avg_eps2_K20,0.3064,0.0591,3
C,ag_news_gpt2_small,gpt2_small,0.3,,dp_avg_eps8_K20,0.2512,0.0019,3
C,ag_news_gpt2_small,gpt2_small,0.3,,labelled_probe_warmup,0.25,0.0,3
C,ag_news_gpt2_small,gpt2_small,0.3,,no_phase0,0.2994,0.0485,3
C,ag_news_gpt2_small,gpt2_small,0.3,,raw_union_K20,0.26,0.0095,3
C,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps2_K20,0.285,0.0582,3
C,ag_news_gpt2_small,gpt2_small,1.0,,dp_avg_eps8_K20,0.2968,0.0558,3
C,ag_news_gpt2_small,gpt2_small,1.0,,labelled_probe_warmup,0.251,0.0017,3
C,ag_news_gpt2_small,gpt2_small,1.0,,no_phase0,0.2682,0.0279,3
C,ag_news_gpt2_small,gpt2_small,1.0,,raw_union_K20,0.2611,0.0188,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps0.5_K1,0.3722,0.0644,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps0.5_K5,0.413,0.1264,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps0.5_K20,0.3612,0.1033,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps2.0_K1,0.3823,0.1139,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps2.0_K5,0.3787,0.1033,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps2.0_K20,0.3788,0.1004,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps8.0_K1,0.3732,0.1067,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps8.0_K5,0.389,0.103,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps8.0_K20,0.3857,0.1012,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps32.0_K1,0.3768,0.1024,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps32.0_K5,0.3887,0.1024,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_eps32.0_K20,0.3866,0.1015,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_epsinf_K1,0.3798,0.0999,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_epsinf_K5,0.386,0.1019,3
D,ag_news_distilbert,distilbert,0.05,,dp_avg_epsinf_K20,0.3877,0.1015,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps0.5_K1,0.3873,0.0932,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps0.5_K5,0.5145,0.1456,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps0.5_K20,0.5096,0.1593,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps2.0_K1,0.4889,0.1649,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps2.0_K5,0.5083,0.1544,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps2.0_K20,0.5185,0.1606,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps8.0_K1,0.5076,0.1626,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps8.0_K5,0.5178,0.16,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps8.0_K20,0.5207,0.1615,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps32.0_K1,0.5158,0.1628,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps32.0_K5,0.521,0.1626,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_eps32.0_K20,0.521,0.1622,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_epsinf_K1,0.5203,0.1626,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_epsinf_K5,0.5211,0.1627,3
D,ag_news_distilbert,distilbert,0.1,,dp_avg_epsinf_K20,0.5208,0.1627,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps0.5_K1,0.6184,0.0638,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps0.5_K5,0.8449,0.0056,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps0.5_K20,0.858,0.0012,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps2.0_K1,0.8343,0.0153,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps2.0_K5,0.8565,0.0013,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps2.0_K20,0.8588,0.0019,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps8.0_K1,0.8569,0.0034,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps8.0_K5,0.8582,0.0019,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps8.0_K20,0.8587,0.0013,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps32.0_K1,0.8584,0.0027,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps32.0_K5,0.8587,0.0014,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_eps32.0_K20,0.8583,0.0021,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_epsinf_K1,0.8584,0.0025,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_epsinf_K5,0.8585,0.002,3
D,ag_news_distilbert,distilbert,1.0,,dp_avg_epsinf_K20,0.8584,0.0019,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps0.5_K1,0.2685,0.0031,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps0.5_K5,0.2479,0.004,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps0.5_K20,0.2536,0.0062,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps2.0_K1,0.2574,0.0058,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps2.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps2.0_K20,0.251,0.0017,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps8.0_K1,0.2739,0.0403,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps8.0_K5,0.2515,0.0027,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps8.0_K20,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps32.0_K1,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps32.0_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_eps32.0_K20,0.2809,0.0533,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_epsinf_K1,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_epsinf_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.05,,dp_avg_epsinf_K20,0.303,0.0917,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps0.5_K1,0.2237,0.0431,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps0.5_K5,0.25,0.0,3
D,ag_news_gpt2_small,gpt2_small,0.1,,dp_avg_eps0.5_K20,0.25,0.0,3
