scheme,basin,N,alpha,seed,theta0_acc,final_acc,telescope_max_param_diff
weight_avg,no-probe,10,1.0,42,0.1181,0.8687,2.60770320892334e-07
stepsum,no-probe,10,1.0,42,0.1181,0.8687,2.60770320892334e-07
sync_sgd,no-probe,10,1.0,42,0.1181,0.8845,2.60770320892334e-07
fedavg_Estep,no-probe,10,1.0,42,0.1181,0.8855,2.60770320892334e-07
centralized,no-probe,10,1.0,42,0.1181,0.847,2.60770320892334e-07
weight_avg,no-probe,10,1.0,123,0.1016,0.8645,2.682209014892578e-07
stepsum,no-probe,10,1.0,123,0.1016,0.8645,2.682209014892578e-07
sync_sgd,no-probe,10,1.0,123,0.1016,0.8855,2.682209014892578e-07
fedavg_Estep,no-probe,10,1.0,123,0.1016,0.8827,2.682209014892578e-07
centralized,no-probe,10,1.0,123,0.1016,0.8625,2.682209014892578e-07
