combine,basin,N,alpha,seed,he_depth,theta0_acc,final_acc,vs_weight_avg,vs_centralized
consensus_proj,probe,10,1.0,123,deep,0.7846,0.878,0.0,0.0063
poly_gate_d2_a,probe,10,1.0,123,depth-2,0.7846,0.8522,-0.0258,-0.0195
poly_gate_d2_b,probe,10,1.0,123,depth-2,0.7846,0.8705,-0.0075,-0.0012
sync_sgd,probe,10,1.0,123,deep(multi-round),0.7846,0.8942,0.0162,0.0225
centralized,probe,10,1.0,123,n/a(pooled),0.7846,0.8717,-0.0063,0.0
weight_avg,no-probe,1,1.0,42,depth-1,0.1181,0.8758,0.0,0.0173
mag_weighted,no-probe,1,1.0,42,depth-1,0.1181,0.8758,0.0,0.0173
sign_majority,no-probe,1,1.0,42,deep,0.1181,0.8758,0.0,0.0173
norm_normalized,no-probe,1,1.0,42,deep,0.1181,0.8758,0.0,0.0173
agreement_gated,no-probe,1,1.0,42,deep,0.1181,0.8755,-0.0002,0.017
second_moment,no-probe,1,1.0,42,deep,0.1181,0.6587,-0.217,-0.1998
coord_trimmed_mean,no-probe,1,1.0,42,deep,0.1181,0.8758,0.0,0.0173
consensus_proj,no-probe,1,1.0,42,deep,0.1181,0.8758,0.0,0.0173
poly_gate_d2_a,no-probe,1,1.0,42,depth-2,0.1181,0.5857,-0.29,-0.2728
poly_gate_d2_b,no-probe,1,1.0,42,depth-2,0.1181,0.8758,0.0,0.0173
sync_sgd,no-probe,1,1.0,42,deep(multi-round),0.1181,0.8763,0.0005,0.0178
centralized,no-probe,1,1.0,42,n/a(pooled),0.1181,0.8585,-0.0173,0.0
weight_avg,no-probe,1,1.0,123,depth-1,0.1016,0.8495,0.0,-0.031
mag_weighted,no-probe,1,1.0,123,depth-1,0.1016,0.8495,0.0,-0.031
sign_majority,no-probe,1,1.0,123,deep,0.1016,0.8495,0.0,-0.031
norm_normalized,no-probe,1,1.0,123,deep,0.1016,0.8495,0.0,-0.031
agreement_gated,no-probe,1,1.0,123,deep,0.1016,0.8497,0.0002,-0.0308
second_moment,no-probe,1,1.0,123,deep,0.1016,0.682,-0.1675,-0.1985
coord_trimmed_mean,no-probe,1,1.0,123,deep,0.1016,0.8495,0.0,-0.031
consensus_proj,no-probe,1,1.0,123,deep,0.1016,0.8495,0.0,-0.031
poly_gate_d2_a,no-probe,1,1.0,123,depth-2,0.1016,0.5002,-0.3493,-0.3803
poly_gate_d2_b,no-probe,1,1.0,123,depth-2,0.1016,0.8495,0.0,-0.031
sync_sgd,no-probe,1,1.0,123,deep(multi-round),0.1016,0.8708,0.0213,-0.0098
centralized,no-probe,1,1.0,123,n/a(pooled),0.1016,0.8805,0.031,0.0
weight_avg,no-probe,5,0.05,42,depth-1,0.1181,0.4457,0.0,-0.43
mag_weighted,no-probe,5,0.05,42,depth-1,0.1181,0.4642,0.0185,-0.4115
sign_majority,no-probe,5,0.05,42,deep,0.1181,0.2657,-0.18,-0.61
norm_normalized,no-probe,5,0.05,42,deep,0.1181,0.4538,0.008,-0.422
agreement_gated,no-probe,5,0.05,42,deep,0.1181,0.3722,-0.0735,-0.5035
second_moment,no-probe,5,0.05,42,deep,0.1181,0.4308,-0.015,-0.445
coord_trimmed_mean,no-probe,5,0.05,42,deep,0.1181,0.3927,-0.053,-0.483
consensus_proj,no-probe,5,0.05,42,deep,0.1181,0.4457,0.0,-0.43
poly_gate_d2_a,no-probe,5,0.05,42,depth-2,0.1181,0.3368,-0.109,-0.539
poly_gate_d2_b,no-probe,5,0.05,42,depth-2,0.1181,0.4095,-0.0362,-0.4663
sync_sgd,no-probe,5,0.05,42,deep(multi-round),0.1181,0.8765,0.4308,0.0008
centralized,no-probe,5,0.05,42,n/a(pooled),0.1181,0.8758,0.43,0.0
weight_avg,no-probe,5,0.05,123,depth-1,0.1016,0.4638,0.0,-0.4035
mag_weighted,no-probe,5,0.05,123,depth-1,0.1016,0.473,0.0092,-0.3943
sign_majority,no-probe,5,0.05,123,deep,0.1016,0.28,-0.1838,-0.5873
norm_normalized,no-probe,5,0.05,123,deep,0.1016,0.4615,-0.0023,-0.4058
agreement_gated,no-probe,5,0.05,123,deep,0.1016,0.462,-0.0017,-0.4053
second_moment,no-probe,5,0.05,123,deep,0.1016,0.4363,-0.0275,-0.431
coord_trimmed_mean,no-probe,5,0.05,123,deep,0.1016,0.3262,-0.1375,-0.541
consensus_proj,no-probe,5,0.05,123,deep,0.1016,0.4638,0.0,-0.4035
poly_gate_d2_a,no-probe,5,0.05,123,depth-2,0.1016,0.5652,0.1015,-0.302
poly_gate_d2_b,no-probe,5,0.05,123,depth-2,0.1016,0.4972,0.0335,-0.37
sync_sgd,no-probe,5,0.05,123,deep(multi-round),0.1016,0.875,0.4112,0.0077
centralized,no-probe,5,0.05,123,n/a(pooled),0.1016,0.8673,0.4035,0.0
weight_avg,no-probe,5,0.1,42,depth-1,0.1181,0.6005,0.0,-0.2688
